"Sygnatura czasowa","Jak często korzystasz ze sztucznej inteligencji?","Jak oceniasz wpływ sztucznej  inteligencji na twoje życie codzienne? (Jeśli nie korzystasz z narzędzi AI, pomiń to pytanie)","Do jakich celów używasz sztucznej inteligencji?","Twój obecny etap edukacji:","Czy obecnie jesteś zatrudniony/a lub wykonujesz pracę zarobkową?","Czy obecnie jesteś zatrudniony/-a lub wykonujesz pracę zarobkową?","Na jakim stanowisku pracujesz?","Jak oceniasz wpływ sztucznej inteligencji na twoją pracę?","Jeżeli wykorzystujesz AI w swojej pracy, to w jakim celu? (Jeśli nie, pomiń to pytanie)","Jakie są twoje największe obawy związane z wykorzystaniem sztucznej inteligencji w miejscu pracy?","Czy uważasz, że w przyszłości sztuczna inteligencja będzie w stanie zastąpić twoje aktualne stanowisko pracy?","Czym się zajmujesz zawodowo?","Jak oceniasz wpływ sztucznej inteligencji na twoją pracę?","Jeżeli wykorzystujesz AI w swojej pracy, to w jakim celu? (Jeśli nie, pomiń to pytanie)","Jakie są twoje największe objawy związane z wykorzystaniem sztucznej inteligencji w miejscu pracy?","Czy uważasz, że w przyszłości sztuczna inteligencja będzie w stanie zastąpić twoje aktualne stanowisko pracy?","Na jakim kierunku studiujesz? (Jeśli nie jesteś studentem/studentką, pomiń to pytanie)","Jak oceniasz wpływ sztucznej inteligencji na twoją edukację?","Jeśli korzystasz ze sztucznej inteligencji w edukacji, to w jakim celu? (Jeśli nie, pomiń to pytanie)","Jak oceniasz wpływ sztucznej inteligencji na twoje plany dotyczące przyszłego kierunku studiów/przyszłej kariery?","Czy obawiasz się, że sztuczna inteligencja może w przyszłości zastąpić twoją pracę lub karierę zawodową?","Czy uważasz, że korzystanie z AI w edukacji/pracy powinno być ograniczane lub kontrolowane przez szkoły/uczelnie/firmy?","Czy boisz się, że AI może negatywnie wpłynąć na jakość edukacji?","Czy uważasz, że zbyt częste korzystanie z AI może osłabiać kreatywność?","Czy uważasz, że jesteś w pewnym stopniu uzależniony/a od narzędzi opartych na sztucznej inteligencji?","Jeśli na poprzednie pytanie odpowiedziałeś/-aś twierdząco, czy chciał(a)byś ograniczyć korzystanie z narzędzi AI? (W przeciwnym przypadku pomiń to pytanie)","Czy brak dostępu do narzędzi AI utrudniłby Ci naukę, pracę lub codzienne zadania?","Jakie widzisz korzyści i zagrożenia związane z rozwojem sztucznej inteligencji?"
"2025/05/21 11:38:32 AM EEST","Więcej niż raz dziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Programowanie i analiza danych","Studia/Szkoła wyższa","Tak","","lodziara","3","","Brak","1","","","","","","Bioinformatyka","3","Robienie kodu, tłumaczenie mi zadań i rozwiązywanie ich, robienie powtorek","2","4","3","5","3","5","3","5","Że ludzie przestaną myśleć i uczyć się za siebie a będą ślepo wierzyć informacjom AI"
"2025/05/21 11:48:57 AM EEST","Kilka razy w tygodniu","2","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Studia/Szkoła wyższa","Tak","","serwisant ","3","","Brak","1","","","","","","Transport","2","","3","2","3","5","5","2","2","3","szybki dostep do informacji 
niekoniecznie wiarygodnosc tych informacji 
"
"2025/05/21 11:49:30 AM EEST","Więcej niż raz dziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Szkoła średnia","Nie","","","","","","","","","","","","","3","Dowiadywanie się nowych treści ","3","4","2","3","5","3","","5","Szybszy dostęp do informacji, wprowadzanie w błąd i lenistwo "
"2025/05/21 11:50:08 AM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Programowanie i analiza danych","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Bioinformatyka","4","pomoc w nauce, programowaniu, zadaniach","3","4","3","4","4","3","3","4",""
"2025/05/21 11:51:20 AM EEST","Więcej niż raz dziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Programowanie i analiza danych","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Bioinformatyka ","3","Pomóc w programowaniu, sprawdzanie napisanych wypowiedzi ","2","4","5","5","5","4","5","4","Poleganie na sztucznej inteligencji przy nauce i pracy "
"2025/05/21 11:52:03 AM EEST","Nie korzystam z niej intencjonalnie, zdarza mi się rozmawiać z nią gdy dzwonię np do firmy ubezpieczeniowej, telefonicznej, banku…","1","Jak wyżej ","Studia/Szkoła wyższa","Tak","","Nauczycielka , psychoterapeutka ","1","","Utrata pracy;Etyczne wykorzystanie sztucznej inteligencji","3","","","","","","Psychoterapia ","1","","3","2","4","3","5","1","","1","Największe zagrożenie to gdy osoby uczące się korzystają z AI a ja nie jestem w stanie stwierdzić na ile praca jest samodzielna lub udowodnić że jest niesamodzielna. Oznacza to że osoby uczące się są oceniane nie za swoje kompetencje i umiejętności i że ich nie rozwijają korzystając z AI. Martwi mnie takze to ze no w zawodach pomocowych korzystanie z AI bedzuectanszym rozwiązaniem auto się liczy dla budżetu państwa. I może to oznaczać że klienci opieki społecznej lub służby zdrowia bedą mieli kontakt z AI a nie człowiekiem. A AI nie zastąpi tego co daje kontakt z żywym człowiekiem. Nie zastąpi możliwości np koregukacji bo AI nie ma układu nerwowego. Mimo to budżet musi się zgadzać co może oznaczać zastąpienie niektórych zawodów poprzez usługę AI co jest już teraz dla mnie koszmarem , gdy muszę z tym rozmawiać. "
"2025/05/21 11:52:21 AM EEST","Więcej niż raz dziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Szkoła średnia","Nie","","","","","","","","","","","","","3","edukacji ","2","3","3","5","5","1","","2",""
"2025/05/21 11:52:26 AM EEST","Codziennie","4","Pisanie tekstów (np. e-maili, prac, wpisów);Rozrywka (np. chatboty, gry)","Szkoła średnia","Nie","","","","","","","","","","","","","5","Odpowiedzi na kartkówkach, do zadań ","4","3","2","3","4","4","3","3","Korzyści to pomoc w projektach itp. A zagrożenie to możliwość błędnych informacji"
"2025/05/21 11:52:32 AM EEST","Codziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Szkoła średnia","Nie","","","","","","","","","","","","","3","","3","3","3","5","4","3","3","3",""
"2025/05/21 11:54:15 AM EEST","Kilka razy w tygodniu","2","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Studia/Szkoła wyższa","Tak","","kelnerka ","3","","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Etyczne wykorzystanie sztucznej inteligencji;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","1","","","","","","stosunki międzynarodowe ","2","Wyjaśnianie zagadnień, sporządzanie notatek ","3","1","4","5","5","4","5","3","Zagrożenia : wyparcie użycia własnych umiejętności w codziennym funkcjonowaniu np. pisanie tekstów, w których widoczna jest osobowość piszącego, generowanie treści niezgodnych z rzeczywistością np. zdjęcia które nie miały miejsca 
Korzyści: szybsze wyszukiwanie informacji, generowanie treści pomocnych w zbudowaniu planu gdy nie wie się od czego zacząć "
